ID,Description,Entry_ID,Comparison_Meaning,Concepticon_ID,Media_IDs,Scientific_Name,Semantic_Domain,alt_translation1
SN000055,better,LX000054,GOOD [1035],1035,,,,mieux
SN000056,no matter,LX000055,,,,,,n'importe
SN000057,hundred,LX000056,HUNDRED [1634],1634,,,,cent
SN000058,one hundred,LX000057,HUNDRED [1634],1634,,,,cent
SN000059,two hundred,LX000058,,,,,,deux cent
SN000060,insensible; negligent,LX000059,,,,,,insensible; négligent; obtus; ignorant
SN000061,grass,LX000060,GRASS [606],606,,Chloris robusta Stapf,,herbe
SN000062,be well,LX000061,GOOD [1035],1035,,,,être bien portant
SN000063,spiritual title; blacksmith; there are two types of blacksmiths,LX000062,BLACKSMITH [1001],1001,,,,titre religieux; forgeron; féticheur; il existe deux types de forgerons
SN000064,"blacksmiths who make objects of religious cult, seers, make exorcism at home",LX000063,,,,,,"forgerons qui fabriquent les objets du culte religieux, pratiquent la divination et l’exorcisme"
SN000065,"blacksmith that makes iron products, also involved in funerals and handling of corpses",LX000064,,,,,,"forgeron qui travaille le fer, il participe aussi aux enterrements et manipule les cadavres"
SN000066,chewıng,LX000065,,,,,,mastication
SN000067,chew,LX000066,CHEW [321],321,,,,mâcher
SN000068,divide; separate; discern; distinguish; split,LX000067,DIVIDE [1119],1119,,,,diviser; partager; discerner; distinguer; scinder; (se) séparer
SN000069,threshing,LX000068,,,,,,pilage; action de piler
SN000070,thresh,LX000069,THRESH [285],285,,,,piler
SN000071,dance ornament,LX000070,,,,,,parure de danse
SN000072,offend; disobey; disagree; sin; misunderstand,LX000071,OFFEND [557],557,,,,désobéir; être en désaccord; pécher; comprendre de travers
SN000073,offense; sin,LX000072,,,,,,péché; désobéissance
SN000074,aveloz; firestick plants,LX000073,,,,euphorbia tirucalli,,espèce d'arbre
SN000075,lake; any large water space,LX000074,LAKE [624],624,,,,lac; grande étendue d’eau
SN000076,show off; boast,LX000075,,,,,,crâner; se vanter
SN000077,burn,LX000075,BOAST [101] ; BURN [2102],,,,,brûler
SN000078,trash,LX000076,,,,,,poubelle
SN000079,direct,LX000077,,,,,,direct
SN000080,jealousy,LX000078,,,,,,jalousie
SN000081,burning; burnable,LX000078,BURNING [1428] ; JEALOUSY [2016],,,,,fait de brûler; d’être combustible
SN000082,"a fruit tree with red, acid edible fruits",LX000079,,,,,botanical,arbre fruitier à petits fruits rouges et acides et comestibles
SN000083,a kind of bush,LX000080,,,,Hoematostaphis barteri Anacardiaceae,,arbuste
SN000084,dukwa,dukwa,,,,,,dukwa
SN000085,threat; recommendation,LX000081,,,,,,menace; recommendation
SN000086,threaten,LX000082,THREATEN [1192],1192,,,,gronder; menacer
SN000087,red,LX000083,RED [156],156,,,,rouge
SN000088,love; affection,LX000084,,,,,,amour
SN000089,love; like,LX000085,LOVE [923],923,,,,aimer; vouloir; désirer
SN000090,termite,LX000086,TERMITE [883],883,,,,termite
SN000091,pousse,LX000087,,,,,,germination
SN000092,dzemere,dzemere,,,,,,dzemere
SN000093,mortar,LX000088,MORTAR CRUSHER [224],,,,,mortier
SN000094,intimate conversation,LX000089,,,,,,conversation intime
SN000095,sugar-cane,LX000090,SUGAR CANE [146],,,,,canne à sucre
SN000096,try,LX000091,TRY [1812],1812,,,,essayer
SN000097,trial,LX000092,,,,,,essai
SN000098,engagement,LX000093,,,,,,fiançailles
SN000099,concertation; dialogue,LX000094,,,,,,concertation; dialogue
SN000100,agree; coordinate; manage; conclude,LX000095,,,,,,se concerter; se mettre d’accord; s’arranger
SN000101,agreement,LX000096,,,,,,accord
SN000102,arrangeable,LX000097,,,,,,arrangeable
SN000103,plant,dzugw-,PLANT (SOMETHING) [1486],,,,,planter
SN000104,planting,LX000098,,,,,,action de planter
SN000105,hand,LX000099,HAND [1277],1277,5e5ff4793fb2d8f9b91c72aa53c2b7af,,,main
SN000106,wind a rope,LX000100,,,,,,enrouler une corde
SN000107,hit,LX000101,HIT [1433],1433,,,,frapper
SN000108,hit; kill; threaten,LX000102,HIT [1443] ; THREATEN [1192] ; KILL [1417],,,,,frapper; tuer; menacer
SN000109,arm bracelet,LX000103,BRACELET [1754],1754,,,,bracelet
SN000110,build a defense against physical attack for a person or house,LX000104,,,,,,procurer à une personne ou à une maison une protection magique contre une attaque physique
SN000111,medicine for protection,LX000105,,,,,,grigri de protection
SN000112,kill many; crush,LX000106,CRUSH [1520],1520,,,,tuer en nombre; écraser
SN000113,tooth cavity,LX000107,,,,,,carie dentaire
SN000114,ancestor; grandfather,LX000108,ANCESTORS [1669],1669,,,,ancêtre; grand-père
SN000115,kill,LX000109,KILL [1417],1417,,,,tuer
SN000116,ancestor,LX000110,ANCESTORS [1669],1669,,,,ancêtre fondateur
SN000117,grass for making cords,LX000111,,,,,,herbe utilisée pour faire des cordes
SN000118,plot; align,LX000112,PLOT [2024],2024,,,,comploter; aligner
SN000119,home,LX000113,HOME [2406],2406,,,,maison
SN000120,bedroom,LX000114,BEDROOM [2505],2505,,,,chambre à coucher
SN000121,beans (white),LX000115,BEAN [832],832,,,botanical,variété de niebbés blancs
SN000122,a tuber plant,LX000116,,,,,botanical,plante à tubercule (comestible)
SN000123,transplant (about guinea corn),LX000117,,,,,,repiquer (du sorgho)
SN000124,leather hat,LX000118,,,e85e02e716dfb9e066ccd265395d6a43,,,chapeau en cuir de vache
SN000125,hit someone so that he moves up to the place where subject is; kill inside a hole,LX000119,,,,,,bousculer quelqu'un pour qu’il dégage d’où on est; tuer dans un trou; frapper de bas en haut
SN000126,Islam,LX000120,,,,,,Islam
SN000127,islamize,LX000120,,,,,,islamiser
SN000128,Moslem prayer,LX000121,,,,,,prière musulmane
SN000129,a type of hawk,LX000122,,,,,ornithological,variété d’épervier; faucon
SN000130,have enforced,LX000123,,,,,,avoir enforcé
SN000131,enforce,LX000124,,,,,,enfoncer
SN000132,hair ornament,LX000125,,,,,,parure de coiffure
SN000133,taxes,LX000126,TAX [873],873,,,,impôt
SN000134,hay,LX000127,HAY [342],342,,,,paille
SN000135,male name: not a Hdi name; name of a slave trader who used to capture Hdi,LX000128,,,,,,pas de nom de Hdi; nom d'un esclavagiste
SN000136,hill of large gravel or stones,LX000129,HILL [614],614,,,,colline constituée des gros cailloux ou de pierres
SN000137,diamond,LX000130,,,,,,diamant
SN000138,plant; edible tubercules,LX000131,,,,,botanical,plante à tubercules comestibles
SN000139,study,LX000132,STUDY [1929],1929,,,,étude; enseignement; apprentissage; éducation; lecture
SN000140,have kicked/hit more,LX000133,,,,,,avoir tapé plus
SN000141,hit again,LX000134,,,,,,frapper de nouveau
SN000142,"hand, from finger-tips till shoulder",LX000135,ARM OR HAND [2121],,,,,"main, bras (depuis le bout des doigts jusqu’à l’épaule)"
SN000143,buy,LX000136,BUY [1869],1869,,,,acheter; vendre
SN000144,buy many,LX000137,,,,,,acheter beaucoup
SN000145,sell,LX000138,SELL [1571],1571,,,,vendre
SN000146,wood,LX000139,WOOD [1803],1803,,,,bois
SN000147,sarclage,LX000140,,,,,,labour
SN000148,plough the soil (with a hoe or a plough),LX000141,PLOUGH [1921],1921,,,,labourer (à la houe ou à la charrue)
SN000149,adventure; trip,LX000142,,,,,,aventure; voyage
SN000150,hit; kill; threaten,LX000143,HIT [1433] ; KILL [1417] ; THREATEN [1192],,,,,frapper; tuer; menacer
SN000151,an unidentified tuber plant,LX000144,,,,,botanical,plante à tubercule non identifiée
SN000152,departure,LX000145,,,,,,depart
SN000153,future tense marker,LX000146,,,,,,marque du futur
SN000154,go,LX000147,GO [695],695,,,,aller; partir
SN000155,go to war,LX000148,,,,,,partir a la guerre
SN000156,follow,LX000149,FOLLOW [1085],1085,,,,suivre; marcher derrière
SN000157,cook,LX000150,COOK (SOMETHING) [1100],,,,,cuisiner (‘preparer’ in Cameroonian French)
SN000158,father,LX000151,FATHER [1217],1217,,,,père
SN000159,to,LX000152,,,,,,à; en; de
SN000160,[future tense marker],LX000153,,,,,,
SN000161,[locative directional preposition],LX000154,,,,,,[préposition locative directionnelle]
SN000162,[locative directional preposition],LX000155,,,,,,[Préposition locative directionnelle]
SN000163,[purpose marker]; for,LX000156,,,,,,pour
SN000164,indeed,LX000157,,,,,,vraiment
SN000165,[first person singular possessive],LX000158,,,,,,[pronom possessif de première personne]
SN000166,under; in,LX000159,BELOW OR UNDER [1485],,,,,sous; dans; autour de
SN000167,front yard; courtyard,LX000160,COURTYARD [4],4,,,,cour située devant la maison
SN000168,large gourd,LX000161,,,,,,grande calebasse
SN000169,flat field (whether cultivated or not),LX000162,FIELD [212],212,,,,terrain plat (cultivé ou non)
SN000170,it is cooked,LX000163,,,,,,c’est cuit
SN000171,father; form used only among members of the family,LX000164,FATHER [1217],1217,,,,père; forme réservée aux membres de la famille
SN000172,inside,LX000165,INSIDE [1606],1606,,,,dedans; à l’intérieur
SN000173,cook,LX000166,COOK (SOMETHING) [1100],,,,,cuire
SN000174,fall,LX000167,FALL [1280],1280,,,,tomber
SN000175,woman's nose or lip ornament,LX000168,,,,,,boucle du nez ou de levres
SN000176,food; mush; meal,LX000169,FOOD [256],256,,,,repas; “boule”; nourriture
SN000177,hide,LX000170,HIDE (CONCEAL) [602],,,,,cacher
SN000178,[male name],LX000171,,,,,,
SN000179,a kind of shrub (also called 'negro peach'),LX000172,,,,Sarcocephalus latifolius,botanical,pêcher africain
SN000180,dinner,LX000173,DINNER (SUPPER) [1833],,,,,dîner; repas du jour
SN000181,dinner,LX000174,DINNER (SUPPER) [1833],,,,,dîner; repas de la mi-journée
SN000182,hiding,LX000175,,,,,,le fait de cacher
SN000183,drum,LX000176,DRUM [908],908,ede3b4534076890e87d655bee2972def,,,corps du petit tambour; petit tambour
SN000184,chair,LX000177,CHAIR [1476],1476,,,,chaise
SN000185,a kind of tree,LX000178,,,,euphorbia tirucalli,botanical,espèce d'arbre
SN000186,red-headed agama,LX000179,LIZARD [632],632,,,zoological,margouillat
SN000187,"a kind of tree that bears small, green, acid fruits",LX000180,,,,,,espèce d'arbre qui donne des petits fruits acides de la taille d’un grain de mil
SN000188,health,LX000181,,,,,,santé
SN000189,health,LX000182,,,,,,santé
SN000190,have pain,LX000183,,,,,,avoir mal
SN000191,cook somewhere,LX000184,,,,,,cuire pour soi; cuire quelque chose et l’emporter
SN000192,handle of a hoe,LX000185,,,,,,manche de houe
SN000193,ten; end,LX000186,TEN [1515],1515,,,,dix; fin
SN000194,end of the sequence of numerals,LX000187,,,,,,dernier des numéraux
SN000195,a string of cowry worn to cover the intergluteal cleft,LX000188,,,1eb00f0931199a5ed3d05a3c005dd02f,,,cache-fesses en cauris; porté pour couvrir la raie des fesses
SN000196,from; since,LX000189,FROM [693],693,,,,depuis; à partir de
SN000197,collective harvesting of grains,LX000190,,,,,,récolte collective des céréales
SN000198,habit of gathering things,LX000191,,,,,,cueillir habituellement
SN000199,big; long; large,LX000192,BIG [1202],1202,,,,gros; long; grand
SN000200,large basket,LX000193,,,3dfe18bd0e5673db4e6f7683b64b36f2,,,grand panier
SN000201,lizard,LX000194,LIZARD [632],632,,,,lézard
SN000202,nothing; not at all,LX000195,,,,,,rien; pas du tout
SN000203,forever,LX000195,NOTHING [687],687,,,,toujours
SN000204,cook something and bring it here,LX000196,,,,,,cuire quelque chose et l’apporter ici
SN000205,short,LX000197,SHORT [1645],1645,,,,court
SN000206,adjective describing 'being of'; middle length for vertical and horizontal dimension; term relative to the class of objects involved,LX000198,,,,,,de taille moyenne (en hauteur ou en largeur); terme relatif à une classe d’objets
SN000207,realise; become aware,LX000199,,,,,,réaliser; se rendre compte
SN000208,small pieces of wood with holes in them in order to make a necklace,LX000200,,,,,,petits morceaux de bois perforés destinés à faire un collier
SN000209,[male name],LX000201,,,,,,
SN000210,a horn of a small animal used as protection against evil eye/spirits; literally: ‘horn for body’,LX000202,,,4da5b947d22c7d03a9ac8cb2fe8724cf,,,littéralement: “corne du corps”; corne d’un petit animal dont on fait un talisman pour se protéger du mauvais œil et des esprits malfaisants
SN000211,nail down; fix with a picket,LX000203,,,,,,clouer; fixer (en y enfonçant une chose pointue)
SN000212,money,LX000204,MONEY [1559],1559,,,,argent
SN000213,horn; flute made from horn,LX000205,BRASS INSTRUMENT (HORN OR TRUMPET) [2136],,,,,corne; flûte faite en corne; boîte de conserve
SN000214,sauce,LX000206,SAUCE [132],132,,,,sauce
SN000215,rifle (literally: 'horn for pepper'),LX000207,,,,,,fusil (littéralement: 'corne à piment')
SN000216,tobacco box made from horn,LX000208,,,96474b510b193e5987d06c64e964a735,,,tabatière en corne
SN000217,mirror,LX000209,MIRROR [1171],1171,,,,miroir
SN000218,paper; notebook; book,LX000210,PAPER [648],648,,,,papier; cahier; livre
SN000219,all,LX000211,ALL [98],98,,,,tout; tous
SN000220,thousand,LX000212,THOUSAND [1843],1843,,,,mille
SN000221,hut built in the field for rest; protection against rain,LX000213,,,d8c88e6f55aa143ce838a26cb5743a11,,,hutte construite aux champs pour se reposer et s’abriter de la pluie
SN000222,hedgehog,LX000214,HEDGEHOG [1797],1797,,,zoological,porc-épic
SN000223,all,LX000215,ALL [98],98,,,,tout
SN000224,condition; except,LX000216,,,,,,à condition que; sauf si
SN000225,smoke,LX000217,SMOKE (EXHAUST) [778],,,,,fumée
SN000226,put a dish on fire to cook,LX000218,,,,,,mettre (quelque chose) à cuire sur le feu
SN000227,illness,LX000219,,,,,,maladie
SN000228,cook for,LX000220,,,,,,cuire pour quelqu'un; cuis-lui (quelque chose)!
SN000229,hat,LX000221,HAT [771],771,,,,chapeau
SN000230,an unidentified type of grass; it is boiled and used to wash off the skin to prevent skin diseases,LX000222,,,,,botanical,herbe non identifiée; utilisée en décoction pour purifier la peau afin d’éviter les dermatoses
SN000231,stalk,LX000223,,,,,,tige
SN000232,silver bracelet,LX000224,,,79fa0148d6786c7a15dec3e5b0118f90,,,bracelet en argent
SN000233,civete,LX000225,,,,,zoological,civette
SN000234,indigenous iron that was smelted from the ore (as opposed to iron obtained from scrap metal),LX000226,,,,,,fer indigène; extrait du minerai local (par opposition au fer de récupération)
SN000235,iron mass serving as source to make iron tools,LX000227,,,,,,loupe de fer
SN000236,ask a question; ask for a thing; borrow,LX000228,BORROW [1823] ; ASK (REQUEST) [1828],,,,,poser une question; demander quelque chose; emprunter
SN000237,question,LX000229,,,,,,demande
SN000238,question; interrogate,LX000230,,,,,,interroger; soumettre à un interrogatoire
SN000239,ask,LX000231,ASK (INQUIRE) [1309],,,,,demander
SN000240,questioning,LX000232,,,,,,fait de demander habituellement
SN000241,ask somebody!,LX000233,,,,,,demande à quelqu'un!
SN000242,ask something for somebody,LX000234,,,,,,demander quelque chose pour quelqu'un
SN000243,ask for a part of something,LX000235,,,,,,demander une partie de quelque chose
SN000244,ask for more,LX000236,,,,,,demander davantage de quelque chose; avoir demandé de plus
SN000245,disciple; adult; employee,LX000237,,,,,,disciple; adulte; employé
SN000246,scarring,LX000238,,,,,,scarification
SN000247,sew,LX000239,SEW [1457],1457,,,,coudre
SN000248,pour things inside a vessel with a small entry,LX000240,,,,,,verser dans un récipient qui a une petite embouchure
SN000249,yesterday,LX000241,YESTERDAY [1174],1174,,,,hier
SN000250,exactly; sufficiently,LX000242,,,,,,exactement; suffisamment
SN000251,germinate,LX000243,,,,,,germer
SN000252,bird,LX000244,BIRD [937],937,,,zoological,oiseau
SN000253,pin to attach cowry string,LX000245,,,ff4ddf52890408725c0017ca5c5e832f,,,agrafe qui permet d’accrocher le cache-fesses en cauris autour des reins
SN000254,a kind of mouse,LX000246,,,,,,varieté de souris
SN000255,far,LX000247,FAR [1406],1406,,,,loin
SN000256,flea,LX000248,FLEA [232],232,,,,puce
SN000257,burn!,LX000249,,,,,,grille!
SN000258,grillage,LX000250,,,,,,grillage
SN000259,ant,LX000251,ANT [587],587,,,,fourmi
SN000260,reheat,LX000252,,,,,,"réchauffer, chauffer, bouillir"
SN000261,unidentified fruit-tree,LX000253,,,75cb8c37309570e3b45bccf3e9213323,,botanical,arbre fruitier non identifié
SN000262,a kind of fruit-tree bearing hard grapefruit-like fruit,LX000254,,,,,botanical,espèce d'arbre fruitier porte des fruits durs qui ressemblent au pamplemouse
SN000263,fruit-tree,LX000255,,,69cf88c29bb53a0d0d5ffa7bbbe8e37f,,botanical,arbre fruitier
SN000264,coral tree,LX000256,,,,,botanical,Erythrina
SN000265,wild african plum,LX000257,,,de2984ba51a143af998a18c284907c75,Vitex doniana Sweet (Verbenaceae),botanical,prunier; les fruits de la taille d’une petite olive deviennent noirs lorsqu’ils sont mûrs
SN000266,put,LX000258,PUT [998],998,,,,mettre; poser
SN000267,heat,LX000259,HEAT [612],612,,,,chauffage
SN000268,tree,LX000260,TREE [906],906,,,botanical,arbre
SN000269,sing,LX000261,SING [1261],1261,,,,chanter; il faut chanter
SN000270,clean!,LX000262,,,,,,balaie!; nettoie!
SN000271,planing,LX000263,,,,,,rabotage
SN000272,clean (the field),LX000264,,,,,,balayer; nettoyer
SN000273,preparation of the field for ploughing,LX000264,CLEAN (SOMETHING) [2235],,,,,préparation du champ avant le labour
SN000274,plane,LX000265,,,,,,raboter; rabote!
SN000275,beginning,LX000266,BEGINNING [1557],1557,,,,commencement
SN000276,put!,LX000267,,,,,,pose; dépose!
SN000277,red billed francollin,LX000268,,,,Pternistis adspersus,ornithological,francolin
SN000278,hang; lower things,LX000269,,,,,,suspendre; déposer
SN000279,wind,LX000270,WIND [960],960,,,,vent
SN000280,leaf of melon,LX000271,,,,,,feuille de courge
SN000281,add more,LX000272,,,,,,ajouter; avoir mis par-dessus
SN000282,a kind of grass,LX000273,,,,,botanical,herbe non identifiée
SN000283,sun; day; time; period,LX000274,DAY OR SUN [2140],,,,,soleil; jour; temps; période
SN000284,get used to,LX000275,,,,,,s’être habitué à
SN000285,travel,LX000276,,,,,,walk; voyager; marcher
SN000286,a kind of shrub,LX000277,,,,grewia cissoides,botanical,arbustre
SN000287,shake,LX000278,SHAKE [1909],1909,,,,secouer
SN000288,meet,LX000279,MEET [1831],1831,,,,rencontrer
SN000289,galago; bushbaby,LX000280,,,,,zoological,lémurien nocturne émettant un cri qui ressemble à celui d’un enfant
SN000290,a variety of small millet,LX000281,,,,,botanical,herbe genre penicellaire
SN000291,unidentified grass,LX000282,,,,,botanical,herbe non identifiée
SN000292,on top; head,LX000283,TOP [1753] ; HEAD [1256],,,,,dessus; tête
SN000293,about,LX000284,,,,,,au sujet de
SN000294,speckled pigeon,LX000285,,,,,zoological,pigeon
SN000295,gruel,LX000286,GRUEL [1167],1167,,,,bouillie de farine du mil
SN000296,gesticulation,LX000287,,,,,,gesticulation
SN000297,terrace,LX000288,,,,,,terrasse
SN000298,grey heron,LX000289,,,,,,héron cendre
SN000299,expulse,LX000290,,,,,,expulser
SN000300,cave; hole,LX000291,CAVE [1155] ; HOLE [1667],,,,,troue
SN000301,mountain; hill,LX000292,MOUNTAIN OR HILL [2118],,,,,montagne; colline
SN000302,river,LX000293,RIVER [666],666,,,,rivière; fleuve
SN000303,cut; slaughter,LX000294,CUT (WITH KNIFE) [2156],,,,,couper; egorger
SN000304,bad,LX000295,BAD [1292],1292,,,,mauvais
SN000305,male name: derived from 'ghwáɗák',LX000296,,,,,,derivé de 'ghwáɗák
SN000306,bark,LX000297,BARKING [1206],1206,,,,aboyer
SN000307,dry,LX000298,,,,,,secher
SN000308,dry,LX000299,DRY [1398],1398,,,,sec
SN000309,a type of couch grass,LX000300,,,,,botanical,sorte de chiendent
SN000310,ten,LX000301,TEN [1515],1515,,,,dix
SN000311,ten,LX000302,TEN [1515],1515,,,,dix
SN000312,twelve,LX000303,TWELVE [1707],1707,,,,douze
SN000313,fifteen,LX000304,FIFTEEN [1709],1709,,,,quinze
SN000314,eleven,LX000305,ELEVEN [1706],1706,,,,onze
SN000315,"small red insect, lives in the fields; e.g. in the field of groundnuts, causes no known damage",LX000306,,,,,,petit insecte rouge qu’on trouve dans les champs d’arachides; aucun dégât connu
SN000316,a variety of groundnuts commonly sold at the markets,LX000306,,,,,,"variété d’arachides vendues au marché; (voir 'ùrná', terme générique pour “arachides”)"
SN000317,medicine,LX000307,MEDICINE [1372],1372,7f0c9c85e0d39ff5591007e43388cf5f,,,médicaments; remède
SN000318,a kind of bush,LX000308,,,,"jatropha curcas, jatropha gossypiifolia",botanical,arbustre
SN000319,slaughter,LX000309,SLAUGHTER [1796],1796,,,,égorger; couper la tête
SN000320,the largest basket for transporting grains,LX000310,,,,,,"le plus grand des paniers avec lequel on transporte le produit de la récolte, que ce soit pour aller le piler ou pour le stocker"
SN000321,partridge,LX000311,,,,,ornithological,perdrix; francolin
SN000322,fat; grease,LX000312,FAT (ORGANIC SUBSTANCE) [323],,,,,graisse
SN000323,small bush (eaten by goats),LX000313,,,,,botanical,arbuste (appété par les chèvres)
SN000324,cloud,LX000314,CLOUD [1489],1489,,,,nuage
SN000325,a kind of tree; name used for two types of acacia tree,LX000315,,,05d12896b61f519dbf6cd97469cc8485,Acacia polyacantha; A. ehrenbergiana,botanical,espèce d'arbre; nom utilisé pour deux acacias
SN000326,monitor lizard; sub-adult; different from varan which is 'kúmbrà',LX000316,,,,,zoological,varan qui n’a pas encore atteint la taille adulte; différent de 'kúmbrà'
SN000327,melon,LX000317,MELON [507],507,,,,melon
SN000328,bed made from the trunk of Faidherbia (Acacia) albida,LX000318,,,8fa0ff2d5567fbdd722c586c89421c58,,,lit fait dans le tronc d’un Faidherbia
SN000329,forge,LX000319,FORGE [288],288,fef4f2b98ddafa0bfdd500a25518eb70,,,forger
SN000330,chase away!; to chase; hunt,LX000320,HUNT [1435],1435,,,,chasse!; fais partir!; chasser; aller à la chasse
SN000331,telling stories,LX000321,,,,,,fait de raconter des histoires; invention
SN000332,[second person singular object],LX000322,,,,,,
SN000333,extension coding distal point of view of goal,LX000323,,,,,,extension qui encode le point de vue du but
SN000334,begging,LX000324,,,,,,mendicité
SN000335,a kind of tree,LX000325,,,93be6419bd3031ad1ecaac95b45f750f,Faidherbia (Acacia) albida,botanical,espèce d'arbre
SN000336,an area with stagnant water,LX000326,,,,,,endroit couvert d’eau stagnante
SN000337,group,LX000326,,,,,,groupe
SN000338,wash something,LX000327,WASH [1453],1453,,,,laver quelque chose
SN000339,melon plant,LX000328,,,54b76c73b4c5d3066047c1326b67979f,,botanical,pied de melon
SN000340,humor it!,LX000329,,,,,,moque-t'en!
SN000341,laughter,LX000330,,,,,,le rire
SN000342,laugh,LX000331,LAUGH [1355],1355,,,,rire
SN000343,quiver,LX000332,,,,,,carquois
SN000344,urinate,LX000333,PISS [592],592,,,,uriner
SN000345,flood zone,LX000334,,,,,,zone innondable
SN000346,bone,LX000335,BONE [1394],1394,,,,os
SN000347,antelope,LX000336,,,,,zoological,antilope
SN000348,grass,LX000337,GRASS [606],606,,,botanical,herbe
SN000349,go blind; be blind to somebody’s faults,LX000338,,,,,,devenir aveugle; s’aveugler; ne pas voir les fautes de quelqu'un
SN000350,blindness,LX000339,,,,,,cécité
SN000351,lowland bamboo,LX000340,,,,,botanical,bambou
SN000352,earlier; before,LX000341,BEFORE [1882],1882,,,,avant; auparavant; jadis; il y a longtemps
SN000353,steal,LX000342,STEAL [713],713,,,,voler; dérober
SN000354,thief,LX000343,THIEF [1160],1160,,,,voleur
SN000355,theft,LX000344,,,,,,vol
SN000356,old time,LX000345,,,,,,temps jadis; autrefois
SN000357,unidentified grass,LX000346,,,,,botanical,herbe non identifiée
