ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_IDs,Sense_IDs,alt_translation1
XV000066,xed,dgàdgà-xə̀n,,,ungrammatical without an object,,,,SN000068,agrammatical sans objet
XV000067,xed,"ɗg-áy-ɗg-áy, ɗg-áy-tán ɗgá ɗgá",,,threshing,,,,SN000070,piler
XV000068,xed,ɗgà-ná-f-ɗgà,,,thresh,,,,SN000070,piler
XV000069,xed,dmà-ná-f-dmà,,,"he disobeyed, plural through reduplication and a insertion,",,,,SN000072,"il a désobéi, pluriel formé par réduplication et insertion d’un 'a'"
XV000070,xed,dá-d-á-mà-ná-f-dá-d-á-mà,,,he didn’t follow the prescribed order of activities in a ceremony,,,,SN000072,il n’a pas suivi l’ordre du déroulement de la cérémonie
XV000071,xed,dmákú,,,"offense, sin",,,537e19714eefa572929cb32579d5169b,SN000072,"peché, desobeissance"
XV000072,xed,dr-ú-drá xàsúù,,,the wood burned,,,,SN000077,le bois a brûlé
XV000073,xed,drá-ghú-drá tá nìvì,,,he burned firewood only,,,6960a1646fad88c810f6aaff3d817a9b,SN000077,il n’a brûlé que du bois de feu
XV000074,xed,d-ríŋ-drá tá xàsú’ú,,,he burned wood,,,,SN000077,il a brûlé du bois
XV000075,xed,drá-ghú-drá t nìví,,,"he burned only firewood, the other things that were nearby he left",,,,SN000077,"il n’a brûlé que le bois de feu, sans toucher aux autres choses qui étaient à côté"
XV000076,xed,drá-drà tá xàsú’ú,,,he burned wood in order to get charcoal,,,,SN000077,il a brûlé du bois pour avoir du charbon
XV000077,xed,drú-v-drà tá vghá-ní,,,'he burned himself,,,,SN000077,il s’est brûlé
XV000078,xed,drá-ná-drà (ngá-ní),,,he burned it (for him),,,,SN000077,il le lui a brûlé
XV000079,xed,drà-ná-ghú-drà,,,he burned a part of the firewood,,,,SN000077,il a brûlé une partie du bois de feu
XV000080,xed,tà drá-kú drá-kú,,,"burning, in the process of burning",,,,SN000081,en train de brûler
XV000081,xed,tà dárá-kú dárá-kú,,,many things in the process of burning,,,,SN000081,plusieurs choses en train de brûler une par une
XV000082,xed,dvànághádvá mbítsá tá zwànì,,,"'Mbitsa has threatened children, 'na' cannot be omitted;",,,,SN000086,Mbitsa a grondé les enfants; on ne peut omettre na
XV000083,xed,dvà-dvà,,,he reprimanded (no specific addressee is implied),,,,SN000086,il a grondé (pas de destinataire précis impliqué)
XV000084,xed,ɗváftá,,,having loved,,,,SN000089,ayant aimé
XV000085,xed,dzrà-p-dzrá xǝ̀n,,,they agreed with each other,,,,SN000100,ils se sont mis d’accord entre eux
XV000086,xed,dzrà-ná-f-dzrù-lù tá xǝ̀n,,,"one has made them agree; with high tone on the verb (goal marker), and low tone on nà the meaning is quite different;",,,,SN000100,"on les a mis d’accord’; avec un ton haut sur le verbe (marque du but), et un ton bas sur nà, le sens est très différent"
XV000087,xed,dzrá-nà-f-dzrù-lù tá xǝ̀n,,,one has gone to make someone them agree,,,,SN000100,on est allé les faire se mettre d’accord
XV000088,xed,dzrà-p-tà,,,(it) has been solved,,,,SN000100,cela été résolu
XV000089,xed,dzrà-ná-gh-w-tà,,,manage a part of conflict,,,,SN000100,résoudre une partie d’un conflit
XV000090,xed,dz-ù-ɗú-s-dzà,,,he slapped me,,,,SN000107,il m’a gifflé
XV000091,xed,dz-ù-nú-s-dzà,,,'he was hit',,,,SN000107,'il a été frappé'
XV000092,xed,dzù-n-dz-ì,,,"'I hit him'; when the object is non-human, the source extension is not used",,,,SN000107,"'je l’ai frappé'; quand l’objet est non humain, on n’emploie pas d’extension de provenance"
XV000093,xed,dzà-n-dzì,,,'I tried to beat the drum',,,,SN000107,'j’ai essayé de battre le tambour'
XV000094,xed,dzà-ná-dzì,,,'I killed something for somebody',,,,SN000107,'j’ai tué [un animal] pour quelqu'un'
XV000095,xed,dzà-gá-p-tà,,,hit someone to chase him out,,,,SN000108,frapper quelqu'un pour le chasser
XV000096,xed,dzà-ná-ghá-tà,,,hit again,,,,SN000108,frapper encore une fois
XV000097,xed,tsá lá xámáyádzì káy kàgì dzà-gá-p-tá dúlá krámásá,,,The people of Hamman Yaji immediately shot their rifles,,,,SN000108,Les gens de Haman Yaji ont immediatement tiré des coups de fusils
XV000098,xed,dzáɓà-dzáɓà dúkwà tá xgání,,,Dukwa has immunized his house against attacks,,,,SN000110,Dukwa a “blindé” sa maison
XV000099,xed,dzáɓà-dzáɓà tíi,,,"'he made me immune to attacks' (this protection is usually made with some plant products, not through verbal means)",,,,SN000110,'il m’a immunisé contre les attaques' (protection généralement obtenue avec des produits végétaux et non par des formules verbales)
XV000100,xed,dzàɓá dzàɓá,,,he smashed something,,,,SN000112,il a écrasé quelque chose
XV000101,xed,dzàɓà-ná-p-dzàɓà tá gígzláx,,,"'he smashed small pieces of something', not 'he smashed something into small pieces'",,,,SN000112,il a écrasé des petits morceaux de quelque chose
XV000102,xed,dzà-m-dzà,,,put in,,,,SN000115,enfoncer
XV000103,xed,dzà-ná-ghá-dzà,,,hit more,,,,SN000115,frapper davantage
XV000104,xed,dzáŋá-f-dzáŋá,,,have read,,,,SN000139,avoir lu
XV000105,xed,dzáwá-dzáwá,,,buy many,,,,SN000143,acheter en quantité
XV000106,xed,dzàxá-dzàxá lù tá vwàx,,,one has ploughed the field,,,,SN000148,on a labouré le champ
XV000107,xed,dzàxá-ná-f-dzàxá lù tá vwàx,,,one has ploughed the field for him,,,,SN000148,on lui a labouré le champ
XV000108,xed,dz-ù-dzà,,,it happened,,,,SN000154,c’est arrivé
XV000109,xed,kà dz-ù-dzà kághá ná,,,if you show up,,,,SN000154,si tu te montres
XV000110,xed,kà dz-ù-gù-dú-ghú-s-dzá tsátsí,,,if he comes for you,,,,SN000154,s’il vient te voir
XV000111,xed,dzà’á lmú,,,"go to war (tribal), fight",,,,SN000154,"partir à la guerre, combattre"
XV000112,xed,tà d-ày-ká tá ɗàfá,,,you cook,,,,SN000157,tu fais la cuisine
XV000113,xed,kà d-ù-tà kà ghzú,,,and she transformed it into beer,,,,SN000157,et elle l’a transformé en bière
XV000114,xed,ngá dà-gá-ghà-tà,,,they should cook and bring it,,,,SN000157,ils doivent le cuire et l’apporter ici
XV000115,xed,ngá dà-gá-ghà-tà índà grá-xà-ní tá ghzú,,,all of his friends should cook beer and bring it there.,,,,SN000157,tous ses amis doivent brasser de la bière et l’apporter ici
XV000116,xed,ngá dà-ghá-tà índà grá-xà-ní tá ghzú,,,all of his friends should cook beer and take it away,,,,SN000157,tous ses amis doivent brasser de la bière et l’emporter
XV000117,xed,dà-k-dà,,,cook something and bring it here,,,,SN000157,cuisiner quelque chose et l’apporter ici
XV000118,xed,d-ù-dà mbízà,,,the bean dish is cooked,,,,SN000157,le plat de haricots est cuit
XV000119,xed,mbàɗ ká mbízà kà dà-tà mbúúlùk,,,then the bean dish cooked very well,,,,SN000157,le plat de haricots s’est cuit très bien
XV000120,xed,dá-ní,,,his father; can be used by members of the family or the outsiders,,,,SN000158,son père; peut être utilisé aussi bien par les membres de la famille que par les autres
XV000121,xed,dà-dá-dà,,,cook something and bring it down to a lower elevation,,,,SN000173,cuire quelque chose et l’emporter dans un lieu situé en contrebas
XV000122,xed,də̀ɗá,,,fall!,,,,SN000174,tombe!
XV000123,xed,də̀ɗà,,,he fell down,,,,SN000174,il est tombé
XV000124,xed,kà dǝ́ɗà-gá-tá-xə̀n,,,and they fell in’ (the speaker is in the place where they fell in),,,,SN000174,et ils sont tombés ici’ (le locuteur se trouve à l’endroit où ils sont tombés)
XV000125,xed,kà dǝ́ɗà-dá-tá-xə̀n,,,and they fell in (the speaker is higher than the place where they fell in),,,,SN000174,et ils sont tombés en contrebas d’ici’ (le locuteur est en un lieu plus élevé que celui où ils sont tombés)
XV000126,xed,ɗífà-w-ɗífà vàzák,,,the rooster hid himself,,,,SN000177,le coq se cacha
XV000127,xed,ɗífà-ná-tà vàzák,,,it is Rooster that hid him,,,,SN000177,c’est le Coq qui l’a caché
XV000128,xed,ɗífà-ghù-tà,,,the action of hiding,,,,SN000177,l’action de cacher
XV000129,xed,ɗíf-ɗífà-ná-tà,,,hide many things,,,,SN000177,cacher plusieurs choses
XV000130,xed,lá-m-là dá ɗífà-ùgh-tà xàdí yà,,,go hide yourself here!,,,,SN000177,viens te cacher ici!
XV000131,xed,ɗífá,,,hide!,,,,SN000177,cache-le!
XV000132,xed,dúglúlúm ghwán,,,"ten, can be used with any round number, e.g. 10, 100. Can also be used alone, and the default interpretation is then ‘ten’.",,,,SN000194,"dix, peut s’employer avec tout nombre rond, par exemple 10, 100. Peut aussi s’employer seul, avec la valeur de “dix”"
XV000133,xed,dèkwá tsà màràkw yá,,,the woman is of middle size,,,,SN000206,la femme est de taille moyenne
XV000134,xed,dúkwá-f-ndá-dúkwá mbítsá tá pìtsákw-á-ní,,,Mbitsa has found out about his hoe,,,,SN000207,Mbitsa a réalisé (ce qui s’était passé) pour sa houe
XV000135,xed,dúkw-áf-ndá-dúkw-ì tá sághá-nì,,,I became unexpectedly aware of his arrival,,,,SN000207,je me suis subitement rendu compte de son arrivée
XV000136,xed,dálà-f-dálà,,,"he fixed many things, he fixed something",,,,SN000211,"il a cloué plusieurs choses, il a cloué quelque chose"
XV000137,xed,dúlá krámásá,,,rifle (literally: 'horn for pepper'),,,,SN000213,fusil (littéralement: 'corne à piment')
XV000138,xed,dí-díngà-f-dí-díngà tá mbízà,,,"she put the beans on fire, cannot be used with sígà ‘pot’ as an object.",,,,SN000226,"elle a mis les haricots à cuire sur le feu, ne peut s’employer avec l'objet 'sígà': marmite"
XV000139,xed,dà-ná-ghá-dà,,,cook more,,,a00d901bcc4471c72a85d55e9b4a3c61,SN000228,cuire davantage (de choses)
XV000140,xed,dà-p-dà,,,cook well,,,34f772a802667833e2bbd1e4ecd426bd,SN000228,cuire comme il faut
XV000141,xed,ɗáwá-f-tà,,,he asked and received,,,,SN000236,il l’a demandé et il l’a obtenu
XV000142,xed,ɗáwà-n-tà,,,try to ask,,,,SN000236,essayer de demander
XV000143,xed,ɗáwá-úgh-tà,,,deprive somebody of something through asking,,,,SN000236,déposséder quelqu'un de quelque chose en le lui demandant
XV000144,xed,ɗáwà-ná-úgh-tà,,,ask for a part of something,,,,SN000236,demander une partie de quelque chose
XV000145,xed,ɗáwá-ná-f-tà,,,ask for something and obtain it,,,,SN000236,demander quelque chose et l’obtenir
XV000146,xed,ɗáwá-nà-n-tà,,,try to ask something for somebody,,,,SN000236,essayer de demander quelque chose pour quelqu'un
XV000147,xed,ɗáwà-dá-f-tà,,,ask for an object which will move into higher elevation,,,,SN000236,demander quelque chose qui se trouve en contrebas
XV000148,xed,ɗáwà-gá-f-tà,,,"ask for something, the person who is asking is higher than the object",,,,SN000236,"demander quelque chose, la personne qui demande étant en position haute par rapport à l’objet qu’elle demande"
XV000149,xed,ɗáwà-dá-p-tà,,,"ask, the subject and the object are at the same level",,,,SN000236,"demander, la personne qui demande et l’objet demandé étant au même niveau"
XV000150,xed,ɗáw-íŋ-tà,,,"ask just like that, without taking into consideration the object asked",,,,SN000236,demander (une chose quelconque) pour le plaisir de demander
XV000151,xed,ɗáwá-f-xà tá múdúbí,,,He also asked for eyeglasses,,,,SN000236,Il a demandé des lunettes
XV000152,xed,ɗáwá-f-ɗáwá,,,he asked and obtained,,,,SN000236,il l’a demandé et il l’a eu
XV000153,xed,ɗáwà-gá-ghà-ɗáwà,,,ask and bring,,,,SN000236,demander et apporter
XV000154,xed,ɗáwá-ghá-ɗáwá,,,'ask and go with the thing,,,,SN000236,demander quelque chose et partir avec
XV000155,xed,ɗáwá-ghw-ɗáwá,,,ask and take,,,,SN000236,demander et prendre
XV000156,xed,ɗáwá-ná-f-ɗáwá,,,ask something for somebody,,,,SN000236,demander quelque chose pour quelqu'un
XV000157,xed,ɗáwà-n-ɗáwà,,,have asked,,,,SN000243,avoir demandé
XV000158,xed,ɗáwá-p-ɗáwá,,,have asked an advice,,,,SN000243,avoir demandé un renseignement
XV000159,xed,ɗáxá-ná-f-ɗáxá tá lgùt tá zwán,,,he sewed the clothing for the child,,,,SN000247,il a cousu l'habillement pour l'enfant
XV000160,xed,ɗíyá-ɗíyà,,,it germinated,,,,SN000251,ça a germé
XV000161,xed,ɗìyá-f àmá ɗìyá-f á xyàw,,,"(generally things) germinated, but the corn did not germinate",,,,SN000251,"tout a germé, mais pas le mil"
XV000162,xed,fwá-ghá-fwá,,,he heated up something and went,,,,SN000260,il a chauffé quelque chose et il est parti
XV000163,xed,fú-fá ìmí,,,the water boiled,,,,SN000260,l’eau a bouilli
XV000164,xed,fwá-p-fwá,,,it got heated up,,,,SN000260,cela s’est réchauffé
XV000165,xed,fwá-fwà,,,"he heated up something’, ‘heat up!",,,,SN000260,"il a réchauffé quelque chose, réchauffe!"
XV000166,xed,fwá-ná-fwà,,,he heated something for him,,,,SN000260,il a réchauffé quelque chose pour quelqu'un
XV000167,xed,fú-fwá,,,it is already hot,,,,SN000260,c’est déjà chaud
XV000168,xed,fwá-p-fw-á ìmí,,,water boiled,,,,SN000260,l’eau a bouilli
XV000169,xed,fwá-p-fw-á tá ìmí,,,"he heated up water, one needs to reheat water",,,,SN000260,"il a fait chauffer de l’eau, on doit réchauffer l’eau"
XV000170,xed,fá-m-tà,,,put in-side,,,,SN000266,mettre à l’intérieur
XV000171,xed,fà-dá-m-fà,,,"insert, introduce",,,,SN000266,"insère!, introduis!"
XV000172,xed,!; kà f-ù-d-ú-tà,,,and he ate it up (literally: put it into himself),,,,SN000266,et il a tout mangé (littéralement: il l’a mis en lui-même)
XV000173,xed,wá fá-tsí nà,,,whom did he put?,,,,SN000266,qui a-t-il mis
XV000174,xed,wá tá fá-tà,,,who put it?,,,,SN000266,qui l’a mis?
XV000175,xed,fáɗá vwàx,,,cleaning of the field,,,,SN000272,préparation du champ
XV000176,xed,fáɗá-ná-fáɗá tá vwàx,,,clean the field for him,,,,SN000272,prépare-lui le champ!
XV000177,xed,gə̀máfgə̀má xə̀n,,,they met,,,,SN000288,ils se sont rencontrés
XV000178,xed,gə̀mà-ná-f-gə̀mí tá xə̀n,,,I got them together,,,,SN000288,je les ai faits se rencontrer (voir 'gúyà' meet)
XV000179,xed,krì tà ghwághù,,,it is dog that is barking,,,,SN000306,c’est le chien qui aboie
XV000180,xed,ghwághwàghwághwà,,,it barked a lot,,,,SN000306,il a beaucoup aboyé
XV000181,xed,ghwálá-ghwálá tá zíndíŋ,,,he dried the germinated guinea corn,,,,SN000307,il a seché le mil germé
XV000182,xed,kà ghwálá-tá zíndíŋ,,,and germinated guinea corn has dried,,,,SN000307,et le mil germé a seché
XV000183,xed,ghwálá,,,dry!,,,,SN000307,séche!
XV000184,xed,ghwálá-p-ghwálá lgùt,,,the cloth dried,,,,SN000307,le vêtement a séché
XV000185,xed,ghzlà-dá-ghzlà,,,chase down,,,,SN000330,chasser en descendant
XV000186,xed,"ghzlà-gá-ghà-ghzlà, ghzlà-k-ghzlà",,,chase toward here (the animal moved toward here),,,,SN000330,chasser vers ici (on dirige l’animal vers ici)
XV000187,xed,ghzlá-ghá-ghzlá,,,chase away,,,,SN000330,"chasser, faire partir"
XV000188,xed,ghzlá-gh-w-ghzlá,,,chase something around something else,,,,SN000330,chasser quelque chose en tournant autour de quelque chose
XV000189,xed,ghzlá-m-ghzlá,,,chase in,,,,SN000330,chasser pour faire entrer
XV000190,xed,ghzlá-ná-ghá-ghzlá,,,chase again,,,,SN000330,chasser encore
XV000191,xed,ghzlá-p-ghzlá,,,chase out,,,,SN000330,chasser pour faire sortir
XV000192,xed,kà sá-ghà ghùb-í-n-tà,,,she came and washed it,,,,SN000338,elle est venue et l’a lavé
XV000193,xed,ghùɓàsá ghùɓàsá,,,"he laughed, he was happy, proud",,,,SN000342,"il a ri, il était heureux, fier"
XV000194,xed,ghùɓàsá-n-ghùɓàsá,,,"laugh a bit, with 'p': out ,extension means 'laughing at'",,,,SN000342,"rire un peu’, avec l’extension 'p', signifie 'se moquer de'"
XV000195,xed,kà ghùɓàsá-p-tá lá jíjì,,,the in-laws burst out laughing mocking him,,,,SN000342,et la belle-famille éclata de rire en se moquant de lui
XV000196,xed,ghùdzághùdzá tá kwàní,,,he urinated,,,,SN000344,il a uriné
XV000197,xed,ghúlp-íŋ-ghúlpá,,,make blind,,,,SN000349,rendre aveugle
XV000198,xed,ghúlp-íŋ-ghúlpá tá krì,,,he blinded the dog,,,,SN000349,il a rendu le chien aveugle
XV000199,xed,ghálá-f-ghálá,,,he stole something,,,,SN000353,il a volé quelque chose
XV000200,xed,ghálá ghálá,,,he stole something,,,,SN000353,il a volé quelque chose
XV000201,xed,ghùn-ín-n-ghùnà,,,he sent (no inanimate object can be added to this verbal form),,,,SN000364,il a envoyé (on ne peut ajouter à cette forme verbale aucun objet non animé)
XV000202,xed,ghùn-áf-ghùnà tá mbítsá,,,he sent Mbitsa,,,,SN000364,il a envoyé Mbitsa
XV000203,xed,ghùn-í-n-ì-s-ghùnà,,,he sent somebody with him,,,,SN000364,il a envoyé quelqu'un avec lui
XV000204,xed,ghùn-í-n-ì-s-ghùnà tá mbítsá mìstá práfè,,,"he sent Mbitsa to accompany Prafé (Prafé is the main person going, he knows the destination)",,,,SN000364,il a envoyé Mbitsa avec Prafé (c’est Prafé qui est la personne principale et c’est lui qui connaît la destination)
XV000205,xed,í’í dzà’á ghùnà-ghá-tá kághá,,,it is me who will send you,,,,SN000364,c’est moi qui t’enverrai
XV000206,xed,mghám tá ghùn-áf-t-í’í ndá xwáyá ndá xwáyá,,,it is the chief that sent me urgently,,,,SN000364,c’est le chef qui m’a envoyé en urgence
XV000207,xed,kà ghúnà-dá-m-tá yàghí tá rvérè,,,and Squirrel sent Lion in,,,,SN000364,et l’Écureuil envoya le Lion dedans
XV000208,xed,ghùvázú mtàk,,,"wild boar, phacochère (see 'mtàk': bush)",,,,SN000380,brousse
XV000209,xed,ndá ghúyá,,,he is drunk,,,,SN000382,il est ivre
XV000210,xed,ghúyú ghúyá,,,he got drunk,,,,SN000382,il s’enivré
XV000211,xed,ghúy-ɗí-f-ghúyà,,,he made me drunk,,,,SN000382,il m’a enivré
XV000212,xed,ghúy-ná-f-ghúyà,,,I made him drunk,,,,SN000382,j’ai l’enivré
XV000213,xed,ghúy-ú-ghúyá pgháfì,,,il est ivre,,,,SN000382,il est ivre
XV000214,xed,ghúál-ú-ghúálá lgùt,,,the shirt dried,,,,SN000388,la chemise a séché
XV000215,xed,ndá ghúálá lgùtá-ɗá,,,"my shirt dried, not ‘the sun/my wife dried my shirt’",,,,SN000388,ma chemise a séché (pas 'le soleil/ma femme a fait sécher ma chemise')
XV000216,xed,ghúálá-kú,,,dryable,,,,SN000388,séchable
XV000217,xed,ndá glá,,,he is grown up,,,,SN000391,il est adulte
XV000218,xed,gláfglá,,,he grew up,,,,SN000391,il a grandi
XV000219,xed,glá-ná-f-glá,,,he raised something,,,,SN000391,il a élevé quelque chose
XV000220,xed,glá-ná- glá,,,raise something for somebody,,,,SN000391,il a élevé quelque chose pour quelqu'un
XV000221,xed,gl-ú-glá,,,he aged,,,,SN000391,il a vieilli
